mp_id,full_name,club,mandate_status,district_number,office_name,street,postal_code,city,voivodeship,phone,email,raw_address
002,Piotr Adamowicz,KO,aktywny,25,*Biuro Posła na Sejm RP Piotra Adamowicza,ul. Grobla II 12/14B,80-835,Gdańsk,pomorskie,,,ul. Grobla II 12/14B | 80-835 Gdańsk | woj. pomorskie
004,Waldemar Andzel,PiS,aktywny,32,*Biuro Poselskie Posła na Sejm RP Waldemar Andzel,ul. Sączewskiego 13 lok. 24,42-500,Będzin,śląskie,tel. (32) 360 05 26,waldemar.andzel@sejm.pl,ul. Sączewskiego 13 lok. 24 | 42-500 Będzin | woj. śląskie
005,Dorota Arciszewska-Mielewczyk,PiS,aktywny,26,*Biuro Poselskie Doroty Arciszewskiej - Mielewczyk,ul. Świętojańska 90 lok. 2,81-388,Gdynia,pomorskie,"tel. 724 805 714,669 056 257",biuro@arciszewska.com,ul. Świętojańska 90 lok. 2 | 81-388 Gdynia | woj. pomorskie
005,Dorota Arciszewska-Mielewczyk,PiS,aktywny,26,Biuro Poselskie Parlamentarzystów Prawa i Sprawiedliwości,ul. Rynek 2 lok. 6,83-300,Kartuzy,pomorskie,,,ul. Rynek 2 lok. 6 | 83-300 Kartuzy | woj. pomorskie
005,Dorota Arciszewska-Mielewczyk,PiS,aktywny,26,Biuro Poselskie Parlamentarzystów Prawa i Sprawiedliwości,ul. Kazimierza Wielkiego 29,77-200,Miastko,pomorskie,,,ul. Kazimierza Wielkiego 29 | 77-200 Miastko | woj. pomorskie
005,Dorota Arciszewska-Mielewczyk,PiS,aktywny,26,Biuro Poselskie Parlamentarzystów Prawa i Sprawiedliwości,Plac Wolności 7,77-300,Człuchów,pomorskie,,,Plac Wolności 7 | 77-300 Człuchów | woj. pomorskie
006,Jan Krzysztof Ardanowski,Republikanie,aktywny,5,*Biuro Poselskie Jana Krzysztofa Ardanowskiego,ul. Piekary 35/39,87-100,Toruń,kujawsko-pomorskie,tel. 668-931-860,jkardanowski@wp.pl,ul. Piekary 35/39 | 87-100 Toruń | woj. kujawsko-pomorskie
007,Iwona Ewa Arent,PiS,aktywny,35,*Biuro Poselskie Posła na Sejm RP Iwony Arent,ul. Tadeusza Kościuszki 13 lok. 313,10-501,Olsztyn,warmińsko-mazurskie,tel. (89) 527 96 26,iwona.arent@sejm.pl,ul. Tadeusza Kościuszki 13 lok. 313 | 10-501 Olsztyn | woj. warmińsko-mazurskie
007,Iwona Ewa Arent,PiS,aktywny,35,Biuro Poselskie Posła na Sejm RP Iwony Arent,ul. Narońskiego 2,12-100,Szczytno,warmińsko-mazurskie,tel. (89) 527 96 26,iwona.arent@sejm.pl,ul. Narońskiego 2 | 12-100 Szczytno | woj. warmińsko-mazurskie
009,Marek Ast,PiS,aktywny,8,*Biuro Poselskie Marka Asta - PiS,Pl. Pocztowy 3 lok. 2,65-305,Zielona Góra,lubuskie,tel. (68) 323 07 70,biuromarkaasta@wp.pl,Pl. Pocztowy 3 lok. 2 | 65-305 Zielona Góra | woj. lubuskie
