mp_id,full_name,club,mandate_status,district_number,body_name,from_date,to_date,role,url
001,Andrzej Adamczyk,PiS,aktywny,13,,,,,
002,Piotr Adamowicz,KO,aktywny,25,Delegacja Sejmu i Senatu RP do Zgromadzenia Parlamentarnego Sejmu i Senatu RP i Sejmu Republiki Litewskiej,08-02-2024,,przedstawiciel,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADDEL&NrKadencji=10&Deleg=90
002,Piotr Adamowicz,KO,aktywny,25,Grupa Parlamentarna Polska-Republika Korei,08-03-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&481&PL
002,Piotr Adamowicz,KO,aktywny,25,Polsko-Litewska Grupa Parlamentarna,07-03-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&458&PL
003,Adam Andruszkiewicz,PiS,wygasl,24,"Delegacja Sejmu i Senatu RP do Zgromadzenia Parlamentarnego Sejmu i Senatu RP, Sejmu RL i Rady Najwyższej UA",21-02-2024,07-08-2025,przedstawiciel,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADDEL&NrKadencji=10&Deleg=94
004,Waldemar Andzel,PiS,aktywny,32,Delegacja Parlamentarna do Zgromadzenia Parlamentarnego RP i Ukrainy,08-02-2024,,przedstawiciel,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADDEL&NrKadencji=10&Deleg=89
004,Waldemar Andzel,PiS,aktywny,32,Delegacja Sejmu i Senatu RP do Zgromadzenia Parlamentarnego NATO,25-01-2024,,zastępca przedstawiciela,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADDEL&NrKadencji=10&Deleg=84
004,Waldemar Andzel,PiS,aktywny,32,Polsko-Chilijska Grupa Parlamentarna,11-09-2025,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&537&PL
004,Waldemar Andzel,PiS,aktywny,32,Polsko-Gruzińska Grupa Parlamentarna,22-02-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&459&PL
004,Waldemar Andzel,PiS,aktywny,32,Polsko-Hiszpańska Grupa Parlamentarna,07-03-2024,,wiceprzewodniczący,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&464&PL
004,Waldemar Andzel,PiS,aktywny,32,Polsko-Japońska Grupa Parlamentarna,07-03-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&470&PL
004,Waldemar Andzel,PiS,aktywny,32,Polsko-Tajwański Zespół Parlamentarny,22-02-2024,,wiceprzewodniczący,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&456&PL
004,Waldemar Andzel,PiS,aktywny,32,Polsko-Ukraińska Grupa Parlamentarna,22-02-2024,,wiceprzewodniczący,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&460&PL
004,Waldemar Andzel,PiS,aktywny,32,Zespół Parlamentarny Polska-USA,07-03-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&463&PL
