mp_id,full_name,club,mandate_status,district_number,present_votes,total_votes,participation,details_url
001,Andrzej Adamczyk,PiS,aktywny,13,,,,
002,Piotr Adamowicz,KO,aktywny,25,2569,2586,99.34%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=002
003,Adam Andruszkiewicz,PiS,wygasl,24,1918,2301,83.36%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=003
004,Waldemar Andzel,PiS,aktywny,32,2548,2586,98.53%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=004
005,Dorota Arciszewska-Mielewczyk,PiS,aktywny,26,2325,2586,89.91%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=005
006,Jan Krzysztof Ardanowski,Republikanie,aktywny,5,2212,2586,85.54%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=006
007,Iwona Ewa Arent,PiS,aktywny,35,2221,2586,85.89%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=007
008,Bartosz Arłukowicz,KO,wygasl,40,444,446,99.55%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=008
009,Marek Ast,PiS,aktywny,8,2437,2586,94.24%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=009
010,Urszula Augustyn,KO,aktywny,15,2582,2586,99.85%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=010
011,Piotr Babinetz,PiS,aktywny,22,2333,2586,90.22%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=011
012,Ryszard Bartosik,PiS,aktywny,37,2494,2586,96.44%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=012
013,Władysław Bartoszewski,PSL-TD,aktywny,19,2463,2586,95.24%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=013
