mp_id,full_name,club,mandate_status,district_number,category,count,url
001,Andrzej Adamczyk,PiS,aktywny,13,,,
002,Piotr Adamowicz,KO,aktywny,25,"Interpelacje, którym nadano bieg:",26,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=002&Typ=INT&Czyb=T
002,Piotr Adamowicz,KO,aktywny,25,"Zapytania, którym nadano bieg:",1,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=002&Typ=ZAP&Czyb=T
002,Piotr Adamowicz,KO,aktywny,25,Pytania w sprawach bieżących:,2,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=002&Typ=PYT&Czyb=T
002,Piotr Adamowicz,KO,aktywny,25,Oświadczenia:,2,https://www.sejm.gov.pl/sejm10.nsf/interpelacje.xsp?symbol=OSWIADCZENIA&id=002&view=8
003,Adam Andruszkiewicz,PiS,wygasl,24,"Interpelacje, którym nadano bieg:",51,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=003&Typ=INT&Czyb=T
003,Adam Andruszkiewicz,PiS,wygasl,24,Pytania w sprawach bieżących:,4,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=003&Typ=PYT&Czyb=T
003,Adam Andruszkiewicz,PiS,wygasl,24,Oświadczenia:,5,https://www.sejm.gov.pl/sejm10.nsf/interpelacje.xsp?symbol=OSWIADCZENIA&id=003&view=8
004,Waldemar Andzel,PiS,aktywny,32,"Interpelacje, którym nadano bieg:",74,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=004&Typ=INT&Czyb=T
004,Waldemar Andzel,PiS,aktywny,32,"Zapytania, którym nadano bieg:",10,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=004&Typ=ZAP&Czyb=T
004,Waldemar Andzel,PiS,aktywny,32,Pytania w sprawach bieżących:,39,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=004&Typ=PYT&Czyb=T
004,Waldemar Andzel,PiS,aktywny,32,Oświadczenia:,121,https://www.sejm.gov.pl/sejm10.nsf/interpelacje.xsp?symbol=OSWIADCZENIA&id=004&view=8
005,Dorota Arciszewska-Mielewczyk,PiS,aktywny,26,"Interpelacje, którym nadano bieg:",22,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=005&Typ=INT&Czyb=T
005,Dorota Arciszewska-Mielewczyk,PiS,aktywny,26,"Zapytania, którym nadano bieg:",1,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=005&Typ=ZAP&Czyb=T
005,Dorota Arciszewska-Mielewczyk,PiS,aktywny,26,Pytania w sprawach bieżących:,3,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=005&Typ=PYT&Czyb=T
