mp_id,full_name,club,mandate_status,district_number,body_name,from_date,to_date,role,url
001,Andrzej Adamczyk,PiS,aktywny,13,,,,,
002,Piotr Adamowicz,KO,aktywny,25,"Komisja Kultury, Dziedzictwa Narodowego i Środków Przekazu",21-11-2023,,przewodniczący,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=KSP
002,Piotr Adamowicz,KO,aktywny,25,Podkomisja stała do spraw mediów i polityki audiowizualnej,08-03-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=KSP01S
002,Piotr Adamowicz,KO,aktywny,25,Komisja Łączności z Polakami za Granicą,21-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=LPG
003,Adam Andruszkiewicz,PiS,wygasl,24,"Komisja Cyfryzacji, Innowacyjności i Nowoczesnych Technologii",19-12-2023,07-08-2025,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=CNT
003,Adam Andruszkiewicz,PiS,wygasl,24,Komisja Łączności z Polakami za Granicą,19-12-2023,07-08-2025,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=LPG
004,Waldemar Andzel,PiS,aktywny,32,Komisja do Spraw Służb Specjalnych,21-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=KSS
004,Waldemar Andzel,PiS,aktywny,32,Komisja Obrony Narodowej,21-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=OBN
004,Waldemar Andzel,PiS,aktywny,32,Podkomisja stała do spraw współpracy z zagranicą i NATO,21-02-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=OBN02S
004,Waldemar Andzel,PiS,aktywny,32,Podkomisja stała do spraw społecznych w wojsku,21-02-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=OBN03S
004,Waldemar Andzel,PiS,aktywny,32,Podkomisja stała do spraw polskiego przemysłu obronnego oraz modernizacji technicznej Sił Zbrojnych RP,21-02-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=OBN04S
004,Waldemar Andzel,PiS,aktywny,32,Komisja Polityki Społecznej i Rodziny,21-11-2023,29-11-2023,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=PSR
005,Dorota Arciszewska-Mielewczyk,PiS,aktywny,26,Komisja Gospodarki Morskiej i Żeglugi Śródlądowej,21-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=GMZ
005,Dorota Arciszewska-Mielewczyk,PiS,aktywny,26,Komisja Łączności z Polakami za Granicą,21-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=LPG
006,Jan Krzysztof Ardanowski,Republikanie,aktywny,5,Komisja Rolnictwa i Rozwoju Wsi,21-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=RRW
006,Jan Krzysztof Ardanowski,Republikanie,aktywny,5,Podkomisja stała do spraw monitoringu Wspólnej Polityki Rolnej Unii Europejskiej i akcesji nowych państw do Unii Europejskiej ze szczególnym uwzględnieniem Ukrainy,09-02-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=RRW01S
006,Jan Krzysztof Ardanowski,Republikanie,aktywny,5,Podkomisja stała do spraw biogospodarki i innowacyjności w rolnictwie,09-02-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=RRW02S
006,Jan Krzysztof Ardanowski,Republikanie,aktywny,5,Podkomisja stała do spraw monitorowania programu zwiększania wykorzystania polskiego białka roślinnego w paszach,09-02-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=RRW05S
007,Iwona Ewa Arent,PiS,aktywny,35,"Komisja do Spraw Energii, Klimatu i Aktywów Państwowych",21-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=ESK
007,Iwona Ewa Arent,PiS,aktywny,35,"Podkomisja stała do spraw transformacji energetycznej, odnawialnych źródeł energii i energetyki jądrowej",08-02-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=ESK03S
007,Iwona Ewa Arent,PiS,aktywny,35,Komisja Odpowiedzialności Konstytucyjnej,21-11-2023,,zastępca przewodniczącego,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=ODK
007,Iwona Ewa Arent,PiS,aktywny,35,Komisja Ustawodawcza,21-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=UST
007,Iwona Ewa Arent,PiS,aktywny,35,Komisja Nadzwyczajna do spraw ochrony zwierząt,18-10-2024,09-05-2025,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMND&NrKadencji=10&KodKom=NOZ
008,Bartosz Arłukowicz,KO,wygasl,40,Komisja do Spraw Unii Europejskiej,21-11-2023,10-06-2024,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=SUE
008,Bartosz Arłukowicz,KO,wygasl,40,Komisja Zdrowia,21-11-2023,10-06-2024,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=ZDR
009,Marek Ast,PiS,aktywny,8,Komisja Odpowiedzialności Konstytucyjnej,21-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=ODK
009,Marek Ast,PiS,aktywny,8,Komisja Sprawiedliwości i Praw Człowieka,21-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=SPC
009,Marek Ast,PiS,aktywny,8,Komisja Ustawodawcza,21-11-2023,,przewodniczący,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=UST
009,Marek Ast,PiS,aktywny,8,Komisja Nadzwyczajna do spraw zmian w kodyfikacjach,28-11-2023,20-12-2023,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMND&NrKadencji=10&KodKom=NKK
010,Urszula Augustyn,KO,aktywny,15,Komisja do Spraw Petycji,21-11-2023,,zastępca przewodniczącego,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=PET
