mp_id,full_name,club,mandate_status,district_number,title,url
002,Piotr Adamowicz,KO,aktywny,25,2023-11-12,https://orka.sejm.gov.pl/osw10.nsf/0/B4D60B6E26CE6C99C1258A65005C6461/%24File/OSW10P_002.pdf
002,Piotr Adamowicz,KO,aktywny,25,2024-04-30,https://orka.sejm.gov.pl/osw10.nsf/0/10D8D0B6D588D922C1258B15003F63AC/%24File/OSW101_002.pdf
002,Piotr Adamowicz,KO,aktywny,25,2025-04-30,https://orka.sejm.gov.pl/osw10.nsf/0/D538A8B310AE6530C1258C830032D58E/%24File/OSW102_002.pdf
003,Adam Andruszkiewicz,PiS,wygasl,24,2023-10-26,https://orka.sejm.gov.pl/osw10.nsf/0/04D0D036364AB0B3C1258A5400545FCC/%24File/OSW10P_003.pdf
003,Adam Andruszkiewicz,PiS,wygasl,24,2024-04-26,https://orka.sejm.gov.pl/osw10.nsf/0/D46633C11957331EC1258B0B005A5DF1/%24File/OSW101_003.pdf
003,Adam Andruszkiewicz,PiS,wygasl,24,2025-04-30,https://orka.sejm.gov.pl/osw10.nsf/0/4370065B0C7E718AC1258C8100382E29/%24File/OSW102_003.pdf
004,Waldemar Andzel,PiS,aktywny,32,2023-11-09,https://orka.sejm.gov.pl/osw10.nsf/0/06288003EF0068F7C1258A6200592F87/%24File/OSW10P_004.pdf
004,Waldemar Andzel,PiS,aktywny,32,2024-04-25,https://orka.sejm.gov.pl/osw10.nsf/0/57A781FCA36D27B2C1258B0A006724CC/%24File/OSW101_004.pdf
004,Waldemar Andzel,PiS,aktywny,32,2025-04-11,https://orka.sejm.gov.pl/osw10.nsf/0/DFD540EFE3A42F24C1258C690044AD00/%24File/OSW102_004.pdf
005,Dorota Arciszewska-Mielewczyk,PiS,aktywny,26,2023-11-12,https://orka.sejm.gov.pl/osw10.nsf/0/7BA6E5D242612974C1258A6500645F5F/%24File/OSW10P_005.pdf
005,Dorota Arciszewska-Mielewczyk,PiS,aktywny,26,2024-04-30,https://orka.sejm.gov.pl/osw10.nsf/0/5BBE8A43825171F2C1258B1500400A1F/%24File/OSW101_005.pdf
