mp_id,full_name,club,mandate_status,district_number,okreg_nazwa,emails,image_url,wybrany_dnia,lista,liczba_glosow,slubowanie,staz_parlamentarny,data_urodzenia,miejsce_urodzenia,wyksztalcenie,ukonczona_szkola,zawod
001,Andrzej Adamczyk,PiS,aktywny,13,Kraków,Andrzej.Adamczyk@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/88B85DA957FD27D3C1258A51003B9AFF/$File/001.jpg,15-10-2023,Prawo i Sprawiedliwość,45171,13-11-2023,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",04-01-1959,Krzeszowice,wyższe,"Społeczna Akademia Nauk w Łodzi, Wydział Zarządzania, Rachunkowość i Finanse w Zarządzaniu - licencjat (2014)",ekonomista
002,Piotr Adamowicz,KO,aktywny,25,Gdańsk,Piotr.Adamowicz@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/333720EB3D781AE7C1258A51003B9B07/$File/002.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,23147,13-11-2023,poseł na Sejm RP IX kadencji,26-06-1961,Elbląg,średnie ogólne,VI Liceum Ogólnokształcące w Gdańsku (1980),dziennikarz
003,Adam Andruszkiewicz,PiS,wygasl,24,Białystok,,https://orka.sejm.gov.pl/Poslowie10.nsf/0/FB587836ACDDE475C1258A51003B9B0B/$File/003.jpg,15-10-2023,Prawo i Sprawiedliwość,53632,13-11-2023,poseł na Sejm RP VIII i IX kadencji,30-06-1990,Grajewo,wyższe,"Uniwersytet w Białymstoku, Wydział Historyczno-Socjologiczny, Stosunki Międzynarodowe - magister (2014)",parlamentarzysta
004,Waldemar Andzel,PiS,aktywny,32,Katowice,Waldemar.Andzel@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/826485BE9B9CEF50C1258A51003B9B12/$File/004.jpg,15-10-2023,Prawo i Sprawiedliwość,22699,13-11-2023,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",17-09-1971,Czeladź,wyższe,"Uniwersytet Śląski w Katowicach, Wydział Nauk Społecznych, Politologia - magister (1996) | Uniwersytet Śląski, Organizacja Pomocy Społecznej (1999) - studia podyplomowe | Akademia WSB w Dąbrowie Górniczej, MBA (2018) - studia podyplomowe",politolog
005,Dorota Arciszewska-Mielewczyk,PiS,aktywny,26,Słupsk,Dorota.Arciszewska-Mielewczyk@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/6C60F1F6FA445241C1258A51003B9B15/$File/005.jpg,,Prawo i Sprawiedliwość,11766,13-11-2023,"poseł na Sejm RP III, IV, VII i VIII kadencji, senator VI i VII kadencji",16-02-1968,Gdynia,wyższe,"Uniwersytet Gdański, Wydział Ekonomiki Transportu, Ekonomia - magister (1992) | Wyższa Szkoła Morska w Gdyni, Wydział Administracji, Organizacja i eksploatacja statków i portów - magister (1994) | Wyższa Szkoła Handlu i Usług w Poznaniu, Executive MBA Master of Business Administration (2020) - studia podyplomowe","ekonomista, menedżer"
006,Jan Krzysztof Ardanowski,Republikanie,aktywny,5,Toruń,Jan.Ardanowski@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/1F993385037025B8C1258A51003B9B19/$File/006.jpg,15-10-2023,Prawo i Sprawiedliwość,28658,13-11-2023,"poseł na Sejm RP VII, VIII i IX kadencji",11-02-1961,Czernikowo,wyższe,"Akademia Techniczno-Rolnicza w Bydgoszczy, Wydział Rolniczy, Rolnictwo - magister inżynier (1985)",rolnik
007,Iwona Ewa Arent,PiS,aktywny,35,Olsztyn,Iwona.Arent@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/ED28016248310EC0C1258A51003B9B1E/$File/007.jpg,,Prawo i Sprawiedliwość,16675,13-11-2023,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",04-06-1968,Olsztyn,wyższe,"Wyższa Szkoła Pedagogiczna, Wydział Humanistyczny, Politologia i Nauki Społeczne - magister (1999) | Uniwersytet Warmińsko-Mazurski, Rachunkowość (2002) - studia podyplomowe | Collegium Civitas pod patronatem Studiów Politycznych PAN, Stosunki Międzynarodowe i Dyplomacja (2012) - studia podyplomowe | WSHIU Akademia Nauk Stosowanych w Poznaniu, EMBA (2023) - studia podyplomowe",politolog
008,Bartosz Arłukowicz,KO,wygasl,40,Koszalin,,https://orka.sejm.gov.pl/Poslowie10.nsf/0/3E0634C91EFB0B26C1258A51003B9B23/$File/008.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,67325,13-11-2023,"poseł na Sejm RP VI, VII i VIII kadencji",30-12-1971,Resko,wyższe,"Pomorski Uniwersytet Medyczny, Wydział Lekarski, Lekarski - lekarz (1996) | Uniwersytet Szczeciński, MBA (2007) - studia podyplomowe",lekarz
009,Marek Ast,PiS,aktywny,8,Zielona Góra,Marek.Ast@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/B0662576ECDE3E32C1258A51003B9B27/$File/009.jpg,15-10-2023,Prawo i Sprawiedliwość,36365,13-11-2023,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",27-09-1958,Zielona Góra,wyższe,"Uniwersytet Wrocławski, Wydział Prawa i Administracji, Prawo - magister (1984)","pracownik samorządowy, radca prawny, urzędnik państwowy"
010,Urszula Augustyn,KO,aktywny,15,Tarnów,Urszula.Augustyn@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/A696485329AE1B79C1258A51003B9B2C/$File/010.jpg,,Koalicja Obywatelska PO .N IPL ZIELONI,27047,13-11-2023,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",01-09-1964,Tarnów,wyższe,"Wyższa Szkoła Pedagogiczna, Wydział Filologii Polskiej, Filologia Polska - magister (1990)",dziennikarz
