mp_id,full_name,club,mandate_status,district_number,data,url
001,Andrzej Adamczyk,PiS,aktywny,13,,
002,Piotr Adamowicz,KO,aktywny,25,,
003,Adam Andruszkiewicz,PiS,wygasl,24,,
004,Waldemar Andzel,PiS,aktywny,32,2024-01-05,https://orka.sejm.gov.pl/rkor10.nsf/0/A62C64FDC44A7466C1258A9B005050E8/%24File/RK10.004.01.pdf
005,Dorota Arciszewska-Mielewczyk,PiS,aktywny,26,,
006,Jan Krzysztof Ardanowski,Republikanie,aktywny,5,,
007,Iwona Ewa Arent,PiS,aktywny,35,2024-01-05,https://orka.sejm.gov.pl/rkor10.nsf/0/7A07360567975B53C1258A9B005050F4/%24File/RK10.007.01.pdf
008,Bartosz Arłukowicz,KO,wygasl,40,2024-01-05,https://orka.sejm.gov.pl/rkor10.nsf/0/F1923963124DB520C1258A9B00505100/%24File/RK10.008.01.pdf
009,Marek Ast,PiS,aktywny,8,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/C896FBFB02B2C12EC1258A9F0040F5BC/%24File/RK10.009.01.pdf
010,Urszula Augustyn,KO,aktywny,15,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/8FDE3A340021603EC1258A9F0040F5CC/%24File/RK10.010.01.pdf
011,Piotr Babinetz,PiS,aktywny,22,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/C1B616CF40523C65C1258A9F0040F5D8/%24File/RK10.011.01.pdf
011,Piotr Babinetz,PiS,aktywny,22,2024-10-22,https://orka.sejm.gov.pl/rkor10.nsf/0/9D8B6F0499BF5C20C1258BBE00386159/%24File/RK10.011.02.pdf
012,Ryszard Bartosik,PiS,aktywny,37,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/45D33ADBD8F53625C1258A9F0040F5E2/%24File/RK10.012.01.pdf
013,Władysław Bartoszewski,PSL-TD,aktywny,19,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/3B5A2B8F1DAFF345C1258A9F0040F5F0/%24File/RK10.013.01.pdf
013,Władysław Bartoszewski,PSL-TD,aktywny,19,2025-05-05,https://orka.sejm.gov.pl/rkor10.nsf/0/2CFBB0D9CB6CC5FCC1258C8100350CF7/%24File/RK10.013.02.pdf
014,Barbara Bartuś,PiS,aktywny,14,2025-10-08,https://orka.sejm.gov.pl/rkor10.nsf/0/788D5C1813BD929BC1258D1D00343579/%24File/RK10.014.01-h.pdf
015,Paweł Bejda,PSL-TD,aktywny,11,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/ADCDA76B3D9D35B6C1258A9F0040F5FD/%24File/RK10.015.01.pdf
016,Konrad Berkowicz,Konfederacja,aktywny,13,,
017,Sylwia Bielawska,KO,aktywny,2,2024-12-19,https://orka.sejm.gov.pl/rkor10.nsf/0/9A34DB9FEA8D6C3AC1258BF800396161/%24File/RK10.017.01.pdf
017,Sylwia Bielawska,KO,aktywny,2,2025-02-07,https://orka.sejm.gov.pl/rkor10.nsf/0/23C6C49751F68432C1258C2A002FDE01/%24File/RK10.017.02.pdf
018,Marek Biernacki,PSL-TD,aktywny,26,,
019,Paweł Bliźniuk,KO,aktywny,9,2025-05-05,https://orka.sejm.gov.pl/rkor10.nsf/0/3C2EFE6E22ED2187C1258C8100350D05/%24File/RK10.019.01.pdf
020,Mariusz Błaszczak,PiS,aktywny,20,2025-05-14,https://orka.sejm.gov.pl/rkor10.nsf/0/41F8AA3B46E43BB7C1258C8A00392134/%24File/RK10.020.01.pdf
021,Mateusz Bochenek,KO,aktywny,32,,
022,Rafał Bochenek,PiS,aktywny,12,2024-10-01,https://orka.sejm.gov.pl/rkor10.nsf/0/3F867B29C85758F1C1258BA9004B368B/%24File/RK10.022.01.pdf
022,Rafał Bochenek,PiS,aktywny,12,2025-02-26,https://orka.sejm.gov.pl/rkor10.nsf/0/9E26E351C969A10EC1258C3D003BD4B1/%24File/RK10.022.02.pdf
023,Izabela Bodnar,niez.,aktywny,3,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/098C24A65AF25440C1258A9F0040F609/%24File/RK10.023.01.pdf
023,Izabela Bodnar,niez.,aktywny,3,2025-01-24,https://orka.sejm.gov.pl/rkor10.nsf/0/C59BD33B3DEA8864C1258C1C0039F966/%24File/RK10.023.02.pdf
024,Jacek Bogucki,PiS,aktywny,24,,
025,Zbigniew Bogucki,PiS,wygasl,41,2025-05-21,https://orka.sejm.gov.pl/rkor10.nsf/0/9333281CF9313162C1258C910035955C/%24File/RK10.025.01.pdf
026,Krzysztof Bojarski,KO,aktywny,6,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/4CCB7E92C2122F42C1258A9F0040F618/%24File/RK10.026.01.pdf
027,Joanna Borowiak,PiS,aktywny,5,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/821521417A91688CC1258A9F0040F625/%24File/RK10.027.01.pdf
027,Joanna Borowiak,PiS,aktywny,5,2024-04-12,https://orka.sejm.gov.pl/rkor10.nsf/0/C5775FDCDA31AB85C1258AFD003346FA/%24File/RK10.027.02.pdf
027,Joanna Borowiak,PiS,aktywny,5,2024-10-10,https://orka.sejm.gov.pl/rkor10.nsf/0/0F418F71827362FFC1258BB2003B32C8/%24File/RK10.027.03.pdf
028,Kamil Bortniczuk,PiS,aktywny,16,,
029,Piotr Borys,KO,aktywny,1,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/048A7A31772F5055C1258A9F0040F632/%24File/RK10.029.01.pdf
030,Bożena Borys-Szopa,PiS,aktywny,29,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/37FAD3ABAA7B4BA8C1258A9F0040F649/%24File/RK10.030.01.pdf
031,Marcin Bosacki,KO,aktywny,39,,
032,Karina Anna Bosak,Konfederacja,aktywny,20,,
033,Krzysztof Bosak,Konfederacja,aktywny,24,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/02002369F8079568C1258A9F0040F656/%24File/RK10.033.01.pdf
034,Grzegorz Braun,Konfederacja,wygasl,23,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/2B9C256CE90B3F92C1258A9F0040F662/%24File/RK10.034.01.pdf
035,Krzysztof Brejza,KO,wygasl,4,,
036,Agnieszka Buczyńska,Polska2050-TD,aktywny,25,,
037,Waldemar Buda,PiS,wygasl,9,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/7508D788D77280F8C1258A9F0040F677/%24File/RK10.037.01.pdf
038,Borys Budka,KO,wygasl,31,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/8F22862C03E1D1EDC1258A9F0040F689/%24File/RK10.038.01.pdf
039,Elżbieta Burkiewicz,Polska2050-TD,aktywny,23,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/8A45BD180616434FC1258A9F0040F694/%24File/RK10.039.01.pdf
040,Lidia Burzyńska,PiS,aktywny,28,,
041,Marek Jan Chmielewski,KO,aktywny,2,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/EF605A1C3D3F63D7C1258A9F0040F69F/%24File/RK10.041.01.pdf
041,Marek Jan Chmielewski,KO,aktywny,2,2025-07-23,https://orka.sejm.gov.pl/rkor10.nsf/0/E965D38F1D71A6BFC1258CD000528EF9/%24File/RK10.041.02.pdf
042,Zbigniew Chmielowiec,PiS,aktywny,23,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/A131E21B5AEC722FC1258A9F0040F6AC/%24File/RK10.042.01.pdf
043,Artur Chojecki,PiS,aktywny,35,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/2066FE03B5C07DD8C1258A9F0040F6B8/%24File/RK10.043.01.pdf
044,Kazimierz Bogusław Choma,PiS,aktywny,6,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/D822C2743E0323A7C1258A9F0040F6C3/%24File/RK10.044.01.pdf
045,Dominika Chorosińska,PiS,aktywny,20,,
046,Tadeusz Chrzan,PiS,aktywny,22,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/ADA94C35BAB10D77C1258A9F0040F6CE/%24File/RK10.046.01.pdf
047,Alicja Chybicka,KO,aktywny,3,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/DBCF8519D858503AC1258A9F0040F6D8/%24File/RK10.047.01.pdf
048,Anna Ewa Cicholska,PiS,aktywny,16,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/CF2C604A96707014C1258A9F0040F6E4/%24File/RK10.048.01.pdf
049,Janusz Cichoń,KO,aktywny,35,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/239B5235627F3DBDC1258A9F0040F6F2/%24File/RK10.049.01.pdf
050,Krzysztof Ciecióra,PiS,aktywny,10,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/E255EC5A0E67C2B9C1258A9F0040F6FC/%24File/RK10.050.01.pdf
050,Krzysztof Ciecióra,PiS,aktywny,10,2024-11-06,https://orka.sejm.gov.pl/rkor10.nsf/0/A8D96DF5D96903D7C1258BCD004C1983/%24File/RK10.050.02.pdf
051,Janusz Cieszyński,PiS,aktywny,35,,
052,Michał Cieślak,PiS,aktywny,33,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/937D2E680F4E14BEC1258A9F0040F70A/%24File/RK10.052.01.pdf
053,Żaneta Cwalina-Śliwowska,Polska2050-TD,aktywny,18,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/7909C1E8DA9F03BAC1258A9F0040F716/%24File/RK10.053.01.pdf
054,Krzysztof Czarnecki,PiS,aktywny,38,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/7A800A6846A34209C1258A9F0040F721/%24File/RK10.054.01.pdf
055,Witold Wojciech Czarnecki,PiS,aktywny,37,,
056,Przemysław Czarnek,PiS,aktywny,6,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/179A69CC668C8D98C1258A9F0040F72D/%24File/RK10.056.01.pdf
057,Arkadiusz Czartoryski,PiS,aktywny,18,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/FBB1C90365ED4B6EC1258A9F0040F73A/%24File/RK10.057.01.pdf
058,Włodzimierz Czarzasty,Lewica,aktywny,32,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/DA101E82C65A7100C1258A9F0040F746/%24File/RK10.058.01.pdf
058,Włodzimierz Czarzasty,Lewica,aktywny,32,2024-09-11,https://orka.sejm.gov.pl/rkor10.nsf/0/C61086BF343E6807C1258B950030A09A/%24File/RK10.058.02.pdf
059,Jacek Czerniak,Lewica,aktywny,6,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/F3EE8CC13A570D7FC1258A9F0040F752/%24File/RK10.059.01.pdf
060,Zofia Czernow,KO,aktywny,1,,
061,Anita Czerwińska,PiS,aktywny,20,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/9046F40CEC51C119C1258A9F0040F75F/%24File/RK10.061.01.pdf
062,Katarzyna Czochara,PiS,aktywny,21,,
063,Sławomir Ćwik,Polska2050-TD,aktywny,7,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/F3098821D60D5C4AC1258A9F0040F76B/%24File/RK10.063.01.pdf
064,Władysław Dajczak,PiS,aktywny,8,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/743D0CCF15AABBECC1258A9F0040F777/%24File/RK10.064.01.pdf
065,Anna Dąbrowska-Banaszek,PiS,aktywny,7,,
066,Zbigniew Dolata,PiS,aktywny,37,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/EFFCD41577115472C1258A9F0040F784/%24File/RK10.066.01.pdf
