mp_id,full_name,club,mandate_status,district_number,type,label,url
001,Andrzej Adamczyk,PiS,aktywny,13,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024001/$File/2024ryczalt_001.pdf?OpenElement
002,Piotr Adamowicz,KO,aktywny,25,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024002/$File/2024ryczalt_002.pdf?OpenElement
002,Piotr Adamowicz,KO,aktywny,25,korekta,Korekta za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024002k/$File/2024ryczaltkor_002.pdf?OpenElement
003,Adam Andruszkiewicz,PiS,wygasl,24,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024003/$File/2024ryczalt_003.pdf?OpenElement
004,Waldemar Andzel,PiS,aktywny,32,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024004/$File/2024ryczalt_004.pdf?OpenElement
005,Dorota Arciszewska-Mielewczyk,PiS,aktywny,26,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024005/$File/2024ryczalt_005.pdf?OpenElement
006,Jan Krzysztof Ardanowski,Republikanie,aktywny,5,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024006/$File/2024ryczalt_006.pdf?OpenElement
007,Iwona Ewa Arent,PiS,aktywny,35,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024007/$File/2024ryczalt_007.pdf?OpenElement
008,Bartosz Arłukowicz,KO,wygasl,40,inne,Rozliczenie za okres sprawowania mandatu,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024008/$File/2024ryczalt_008.pdf?OpenElement
009,Marek Ast,PiS,aktywny,8,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024009/$File/2024ryczalt_009.pdf?OpenElement
010,Urszula Augustyn,KO,aktywny,15,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024010/$File/2024ryczalt_010.pdf?OpenElement
011,Piotr Babinetz,PiS,aktywny,22,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024011/$File/2024ryczalt_011.pdf?OpenElement
012,Ryszard Bartosik,PiS,aktywny,37,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024012/$File/2024ryczalt_012.pdf?OpenElement
013,Władysław Bartoszewski,PSL-TD,aktywny,19,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024013/$File/2024ryczalt_013.pdf?OpenElement
014,Barbara Bartuś,PiS,aktywny,14,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024014/$File/2024ryczalt_014.pdf?OpenElement
015,Paweł Bejda,PSL-TD,aktywny,11,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024015/$File/2024ryczalt_015.pdf?OpenElement
016,Konrad Berkowicz,Konfederacja,aktywny,13,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024016/$File/2024ryczalt_016.pdf?OpenElement
