mp_id,full_name,club,mandate_status,district_number,label,count,url
001,Andrzej Adamczyk,PiS,aktywny,13,Wypowiedzi łącznie,2,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=001&type=P&symbol=WYPOWIEDZI_POSLA
002,Piotr Adamowicz,KO,aktywny,25,Wypowiedzi łącznie,1,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=002&type=P&symbol=WYPOWIEDZI_POSLA
003,Adam Andruszkiewicz,PiS,wygasl,24,Wypowiedzi,8,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=003&type=P&symbol=WYPOWIEDZI_POSLA
004,Waldemar Andzel,PiS,aktywny,32,Wypowiedzi łącznie,18,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=004&type=P&symbol=WYPOWIEDZI_POSLA
005,Dorota Arciszewska-Mielewczyk,PiS,aktywny,26,Wypowiedzi,14,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=005&type=P&symbol=WYPOWIEDZI_POSLA
006,Jan Krzysztof Ardanowski,Republikanie,aktywny,5,Wypowiedzi,19,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=006&type=P&symbol=WYPOWIEDZI_POSLA
007,Iwona Ewa Arent,PiS,aktywny,35,Wypowiedzi,3,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=007&type=P&symbol=WYPOWIEDZI_POSLA
008,Bartosz Arłukowicz,KO,wygasl,40,Wypowiedzi,9,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=008&type=P&symbol=WYPOWIEDZI_POSLA
009,Marek Ast,PiS,aktywny,8,Wypowiedzi,24,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=009&type=P&symbol=WYPOWIEDZI_POSLA
010,Urszula Augustyn,KO,aktywny,15,Wypowiedzi,32,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=010&type=P&symbol=WYPOWIEDZI_POSLA
011,Piotr Babinetz,PiS,aktywny,22,Wypowiedzi,19,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=011&type=P&symbol=WYPOWIEDZI_POSLA
012,Ryszard Bartosik,PiS,aktywny,37,Wypowiedzi,29,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=012&type=P&symbol=WYPOWIEDZI_POSLA
013,Władysław Bartoszewski,PSL-TD,aktywny,19,Wypowiedzi łącznie,26,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=013&type=P&symbol=WYPOWIEDZI_POSLA
014,Barbara Bartuś,PiS,aktywny,14,Wypowiedzi łącznie,59,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=014&type=P&symbol=WYPOWIEDZI_POSLA
015,Paweł Bejda,PSL-TD,aktywny,11,Wypowiedzi łącznie,27,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=015&type=P&symbol=WYPOWIEDZI_POSLA
016,Konrad Berkowicz,Konfederacja,aktywny,13,Wypowiedzi,48,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=016&type=P&symbol=WYPOWIEDZI_POSLA
