mp_id,full_name,club,mandate_status,district_number,body_name,from_date,to_date,role,url
001,Andrzej Adamczyk,PiS,aktywny,13,,,,,
002,Piotr Adamowicz,KO,aktywny,25,Kaszubski Zespół Parlamentarny (Senat RP),,,,"https://www.senat.gov.pl/sklad/zespoly/parlamentarny,264,kaszubski-zespol-parlamentarny.html"
002,Piotr Adamowicz,KO,aktywny,25,Morski Zespół Parlamentarny (Senat RP),,,,"https://www.senat.gov.pl/sklad/zespoly/parlamentarny,270,morski-zespol-parlamentarny.html"
002,Piotr Adamowicz,KO,aktywny,25,Parlamentarna Grupa ds. Autyzmu,29-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=991
002,Piotr Adamowicz,KO,aktywny,25,Parlamentarny Zespół ds. Sportu Żużlowego,12-04-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=1083
002,Piotr Adamowicz,KO,aktywny,25,Parlamentarny Zespół ds. Wolnej Białorusi,20-12-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=1039
002,Piotr Adamowicz,KO,aktywny,25,Pomorski Zespół Parlamentarny,14-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=1002
002,Piotr Adamowicz,KO,aktywny,25,Poselski Zespół Strażaków,12-12-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=882
002,Piotr Adamowicz,KO,aktywny,25,Żuławski Zespół Parlamentarny,07-12-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=1017
004,Waldemar Andzel,PiS,aktywny,32,Parlamentarny Zespół ds. Działań w Zakresie Proobronności i Bezpieczeństwa,11-12-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=1031
004,Waldemar Andzel,PiS,aktywny,32,Parlamentarny Zespół ds. Ochrony Praw Zwierząt,25-01-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=881
004,Waldemar Andzel,PiS,aktywny,32,Parlamentarny Zespół ds. rozwiązania problemu bezdomności psów i kotów w Polsce,15-05-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=1096
004,Waldemar Andzel,PiS,aktywny,32,Parlamentarny Zespół ds. Rozwoju i Wsparcia Przedsiębiorstw,29-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=990
004,Waldemar Andzel,PiS,aktywny,32,Parlamentarny Zespół ds. Sołtysów,29-11-2023,,wiceprzewodniczący,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=986
004,Waldemar Andzel,PiS,aktywny,32,Parlamentarny Zespół ds. Wspierania Rozwoju Województwa Śląskiego,25-01-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=1026
004,Waldemar Andzel,PiS,aktywny,32,Poselski Zespół Strażaków,12-12-2023,,wiceprzewodniczący,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=882
005,Dorota Arciszewska-Mielewczyk,PiS,aktywny,26,"Parlamentarny Zespół ds. Reparacji, Odszkodowania i Zadośćuczynienia Należnych Polsce od Niemiec oraz Oszacowania Wysokości Odszkodowań Należnych Polsce od Rosji za Szkody Wyrządzone w trakcie II Wojny Światowej",22-07-2025,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=918
005,Dorota Arciszewska-Mielewczyk,PiS,aktywny,26,Parlamentarny Zespół Ruch Obrony Granic,22-07-2025,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=1183
005,Dorota Arciszewska-Mielewczyk,PiS,aktywny,26,"Parlamentarny Zespół ""Tak dla rozwoju. CPK - Atom - Porty""",27-06-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=1051
006,Jan Krzysztof Ardanowski,Republikanie,aktywny,5,Kujawsko-Pomorski Zespół Parlamentarny,22-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=962
006,Jan Krzysztof Ardanowski,Republikanie,aktywny,5,Parlamentarny Zespół Członków i Sympatyków Ruchu Światło-Życie i Akcji Katolickiej,28-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=976
006,Jan Krzysztof Ardanowski,Republikanie,aktywny,5,Parlamentarny Zespół ds. Kaskadyzacji Dolnej Wisły,14-11-2023,,wiceprzewodniczący,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=911
006,Jan Krzysztof Ardanowski,Republikanie,aktywny,5,Parlamentarny Zespół ds. Rozwoju Kół Gospodyń Wiejskich,14-11-2023,,wiceprzewodniczący,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=912
006,Jan Krzysztof Ardanowski,Republikanie,aktywny,5,Parlamentarny Zespół ds. Sołtysów,29-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=986
006,Jan Krzysztof Ardanowski,Republikanie,aktywny,5,Poselski Zespół Strażaków,12-12-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=882
007,Iwona Ewa Arent,PiS,aktywny,35,Parlamentarny Zespół ds. Dzieci z Przepukliną Oponowo-Rdzeniową,07-12-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=1024
008,Bartosz Arłukowicz,KO,wygasl,40,Zachodniopomorski Zespół Parlamentarny,20-12-2023,10-06-2024,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=1044
009,Marek Ast,PiS,aktywny,8,Parlamentarny Zespół ds. Energetyki Jądrowej,29-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=987
009,Marek Ast,PiS,aktywny,8,"Parlamentarny Zespół ds. Reparacji, Odszkodowania i Zadośćuczynienia Należnych Polsce od Niemiec oraz Oszacowania Wysokości Odszkodowań Należnych Polsce od Rosji za Szkody Wyrządzone w trakcie II Wojny Światowej",15-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=918
009,Marek Ast,PiS,aktywny,8,Parlamentarny Zespół ds. Rozwoju i Wsparcia Przedsiębiorstw,29-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=990
009,Marek Ast,PiS,aktywny,8,Parlamentarny Zespół na rzecz Katolickiej Nauki Społecznej,23-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADZESP&Zesp=970
